,hour,minute,price,time
136,6,41,111.23,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=41, tm_sec=50, tm_wday=0, tm_yday=54, tm_isdst=0)"
137,6,41,111.23,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=41, tm_sec=55, tm_wday=0, tm_yday=54, tm_isdst=0)"
138,6,42,111.31,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=42, tm_sec=0, tm_wday=0, tm_yday=54, tm_isdst=0)"
139,6,42,111.19,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=42, tm_sec=5, tm_wday=0, tm_yday=54, tm_isdst=0)"
140,6,42,111.19,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=42, tm_sec=10, tm_wday=0, tm_yday=54, tm_isdst=0)"
141,6,42,111.19,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=42, tm_sec=15, tm_wday=0, tm_yday=54, tm_isdst=0)"
142,6,42,111.19,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=42, tm_sec=20, tm_wday=0, tm_yday=54, tm_isdst=0)"
143,6,42,111.19,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=42, tm_sec=25, tm_wday=0, tm_yday=54, tm_isdst=0)"
144,6,42,111.19,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=42, tm_sec=30, tm_wday=0, tm_yday=54, tm_isdst=0)"
145,6,42,111.19,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=42, tm_sec=35, tm_wday=0, tm_yday=54, tm_isdst=0)"
146,6,42,111.19,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=42, tm_sec=40, tm_wday=0, tm_yday=54, tm_isdst=0)"
147,6,42,110.92,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=42, tm_sec=45, tm_wday=0, tm_yday=54, tm_isdst=0)"
148,6,42,110.92,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=23, tm_hour=6, tm_min=42, tm_sec=50, tm_wday=0, tm_yday=54, tm_isdst=0)"
